Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Age Group,Day of Week,Month,Quarter
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,26-35,Friday,November,4
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,26-35,Monday,February,1
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,46-55,Friday,January,1
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,36-45,Sunday,May,2
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,26-35,Saturday,May,2
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,46-55,Tuesday,April,2
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,46-55,Monday,March,1
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,26-35,Wednesday,February,1
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,56-65,Wednesday,December,4
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,46-55,Saturday,October,4
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,18-25,Tuesday,February,1
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,36-45,Monday,October,4
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,18-25,Saturday,August,3
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,56-65,Tuesday,January,1
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,36-45,Monday,January,1
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,18-25,Friday,February,1
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,26-35,Saturday,April,2
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,46-55,Sunday,April,2
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,56-65,Saturday,September,3
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,18-25,Sunday,November,4
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,46-55,Saturday,January,1
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,18-25,Sunday,October,4
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,36-45,Wednesday,April,2
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,46-55,Wednesday,November,4
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,56-65,Tuesday,December,4
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,26-35,Saturday,October,4
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,36-45,Thursday,August,3
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,36-45,Sunday,April,2
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,36-45,Friday,August,3
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,36-45,Sunday,October,4
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,36-45,Tuesday,May,2
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,26-35,Wednesday,January,1
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,46-55,Thursday,March,1
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,46-55,Sunday,December,4
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,56-65,Saturday,August,3
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,46-55,Saturday,June,2
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,18-25,Tuesday,May,2
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,36-45,Tuesday,March,1
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,18-25,Friday,April,2
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,46-55,Thursday,June,2
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,26-35,Wednesday,February,1
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,18-25,Friday,February,1
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,46-55,Friday,July,3
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,18-25,Sunday,February,1
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,56-65,Monday,July,3
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,18-25,Monday,June,2
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,36-45,Monday,November,4
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,46-55,Tuesday,May,2
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,46-55,Monday,January,1
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,26-35,Thursday,August,3
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,26-35,Monday,October,4
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,36-45,Sunday,March,1
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,26-35,Thursday,July,3
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,36-45,Friday,February,1
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,26-35,Tuesday,October,4
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,26-35,Wednesday,May,2
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,56-65,Saturday,November,4
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,18-25,Monday,November,4
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,56-65,Wednesday,July,3
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,26-35,Monday,October,4
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,18-25,Sunday,April,2
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,18-25,Wednesday,December,4
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,56-65,Sunday,February,1
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,46-55,Tuesday,January,1
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,46-55,Tuesday,December,4
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,46-55,Thursday,April,2
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,46-55,Monday,May,2
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,26-35,Friday,February,1
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,56-65,Sunday,April,2
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,36-45,Tuesday,February,1
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,46-55,Friday,July,3
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,18-25,Tuesday,May,2
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,26-35,Monday,August,3
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,18-25,Wednesday,November,4
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,56-65,Thursday,July,3
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,18-25,Saturday,March,1
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,46-55,Sunday,July,3
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,46-55,Saturday,July,3
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,26-35,Tuesday,April,2
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,56-65,Sunday,December,4
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,36-45,Wednesday,May,2
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,26-35,Tuesday,December,4
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,46-55,Saturday,December,4
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,36-45,Tuesday,November,4
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,26-35,Monday,February,1
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,18-25,Wednesday,November,4
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,26-35,Wednesday,November,4
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,56-65,Wednesday,March,1
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,56-65,Sunday,October,4
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,46-55,Saturday,May,2
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,56-65,Saturday,March,1
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,46-55,Friday,August,3
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,36-45,Friday,July,3
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,46-55,Friday,May,2
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,26-35,Friday,November,4
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,36-45,Tuesday,December,4
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,46-55,Friday,October,4
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,56-65,Sunday,April,2
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,46-55,Sunday,December,4
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,36-45,Friday,June,2
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,26-35,Sunday,January,1
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,46-55,Friday,April,2
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,56-65,Tuesday,January,1
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,26-35,Sunday,June,2
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,18-25,Tuesday,July,3
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,46-55,Thursday,May,2
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,18-25,Friday,February,1
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,26-35,Wednesday,April,2
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,26-35,Wednesday,October,4
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,26-35,Sunday,June,2
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,26-35,Wednesday,April,2
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,36-45,Saturday,December,4
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,36-45,Wednesday,September,3
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,18-25,Saturday,July,3
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,46-55,Sunday,November,4
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,18-25,Wednesday,August,3
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,18-25,Wednesday,March,1
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,26-35,Tuesday,May,2
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,56-65,Monday,March,1
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,56-65,Sunday,May,2
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,26-35,Sunday,October,4
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,56-65,Tuesday,October,4
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,36-45,Monday,May,2
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,26-35,Friday,October,4
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,46-55,Tuesday,August,3
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,26-35,Thursday,October,4
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,26-35,Monday,July,3
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,26-35,Wednesday,July,3
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,18-25,Sunday,April,2
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,56-65,Sunday,March,1
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,18-25,Monday,September,3
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,36-45,Sunday,September,3
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,18-25,Thursday,February,1
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,46-55,Wednesday,January,1
